Ratings,Reviews
2,"Since the last 2-3 updates, the application works the same but the bottom part with the emoticons is different, it takes up a lot of space and after you write and hit enter you no longer see the written message, you have to go back so that the space where you wrote disappears to see actually what you wrote. It's annoying to make two extra moves to check what you wrote. Please return to the way it was before. It was simple and beautiful. Thank you"
4,There's no feature to share my screen. Update 1/14/2023 Can you please make it possible to share my screen during video chat? It would be much appreciated. Thank you so much. Update: Changed my review to 4 stars 🤩 They added the screen recording feature! The only downside that I have to deal with still is that in order to connect the bluetooth earpiece you have to disconnect the call and then call the person back if you didn't have it connected prior to the call. It's so annoying!
2,"The app tries to improve, but takes a step backwards with each update. The app has had a good track record. If only the app did not become more and more buggy with each update. They have added really cool features that do improve the app. Some not so much. For example, the emoji panel. They've changed the placement of the ""delete"" key, and was replaced by the flags icon. For a long term user (most of us) this is incredibly annoying. So much more, but I'm at my word limit."
1,"After the last update it's a nightmare! I am typing a message and I want to add a yellow smiley, but when I click on it, all the stickers open, if I click to smiles after that, the smiley is inserted in the middle of the text and in the middle of the word and not at the end of text! I hate the new version! Return the old one or fix this bug so that it was like before! it's annoying! The software tester is terrible and needs to relearn his profession!"
2,"Switching phones is not easy with this app. I don't like how you can't have two or more devices logged in at once, like Telegram. Also, i can't get the transfer chat feature to work, and then i don't see an option to try again after it fails. And then, when trying to do backup google drive, when i try to log on to a new device, the option to restore chats is not presented. Why is this so complicated?"
1,"The return button on the keyboard is missing. This is a important feature that WhatsApp seemed to have taken from the keyboard. I have two options to send a message, but if I need to break a message up, I can no longer do that. This one feature has pissed me all the way off, especially when I'm not the type to leave reviews at all! Return this feature back as soon as possible."
3,"I'm noticing the app continues to increase in internal storage. I also notice that its becoming more buggy with each update. I'm seeing the same thing happening with Telegram too. I think these 2 rivals are competing to see who can provide better features (even though telegram takes the win on that one), rather than to fix the stability of their own apps. Eventually they'll address the complaints about stability, but when?"
1,"Exceptionally horrible! Forces close. Freezes. Won't send my videos. Won't let you change gallery, photo, or notification settings. I tried to add a friend's number (mexican) wouldn't allow it unless he was in my phone's contacts; seriously! The whole point is to be able to use it Internationally. Waste of time. 👌🏾"
1,"I wasn't sure if I trusted the other reviews, so I tried it anyway. You really do have to add your contacts and add new people to contacts to use it, which kind of defeats the original purpose because you might as well just dial their number and call them. Meta clearly wanted to turn a simple encripted communications app into a full-fledged social network, whether you and everyone you know wants to be included or not. Lucking, better communications apps are now available. You don't need this."
2,"duh! how many users have actually asked for this change of UI? why do you need to change something that worked just fine for years and years, is beyond my understanding. App Design isnt about ""fancy new looks every month"" but user friendliness and intuitiveness while using the app - that scores quite high. Now the speed of ""creating a message"" is greatly compromised cause ""Someone"" felt the urge to play with app's interface. Good job you guys🫤#byebyeintuitive #wheredidthisbuttongo!?"
